user_id,name,age,country,register_date,premium,favorite_languages,preferred_genres
U00001,Carla Martinez,52,Mexico,2022-06-01,false,es|pt|ja,Fantasy|Family|War|Animation
U00002,Sam Lopez,63,Canada,2022-10-19,false,en|it|es,Family|War
U00003,Avery Vasquez,31,Peru,2025-07-30,true,it|es,Action|Documentary|Romance
U00004,Jordan Gomez,42,Mexico,2022-10-26,false,ko|it|en,Music|Fantasy|Adventure
U00005,Camila Mendoza,23,Argentina,2024-04-20,true,it,Drama|Animation|Adventure|Horror
U00006,Lucia Ramirez,62,Mexico,2024-10-25,true,it,Music|Documentary|Western|War
U00007,Daniel Sanchez,32,Guatemala,2023-03-11,false,pt|ja|en,Mystery|Fantasy|Family
U00008,Lucia Ramirez,47,Colombia,2022-08-24,false,ko|de|pt,Horror|Drama
U00009,Casey Sanchez,50,United States,2025-06-03,true,fr,Fantasy|Romance|Mystery|Documentary
U00010,Fernanda Garcia,56,United States,2022-11-21,false,es|de|ja,Documentary|Romance
U00011,Daniel Lopez,47,Guatemala,2026-02-02,false,ja|es,Comedy|Fantasy|Horror|Adventure
U00012,Elena Gonzalez,28,Canada,2025-02-13,true,de|es|fr,History|War
U00013,Nicolas Flores,33,Brazil,2025-01-05,true,de|en,Comedy|Music
U00014,Jordan Ramos,51,Brazil,2022-08-30,false,it,Crime|Western|Thriller|Fantasy
U00015,Riley Morales,46,Mexico,2026-02-21,true,pt|de|it,History|Mystery
U00016,Avery Rodriguez,63,Guatemala,2024-03-03,true,de|en|ja,Western|Family
U00017,Jordan Garcia,52,Colombia,2024-02-16,false,ko|es,War|Family
U00018,Avery Ramos,44,United States,2024-07-22,true,ja|fr|de,Comedy|Western
U00019,Jose Martinez,52,United States,2022-08-13,true,de,Horror|Comedy|Family
U00020,Mateo Gonzalez,52,Guatemala,2023-11-02,true,es|en|pt,Family|Animation|Science Fiction
U00021,Hector Sanchez,42,Guatemala,2023-03-17,false,en|es,Thriller|Western|Drama
U00022,Cameron Vasquez,31,Guatemala,2023-11-16,true,it,Western|Thriller|Crime
U00023,Luis Flores,23,Colombia,2022-08-06,true,fr|en|it,Thriller|War
U00024,Nicolas Rodriguez,20,Brazil,2026-01-22,true,de|it|ja,Mystery|Comedy
U00025,Mateo Ortega,43,Colombia,2025-06-11,false,pt|es|fr,Horror|Fantasy|Drama|Western
U00026,Valeria Flores,50,Chile,2022-09-06,true,de,Science Fiction|Comedy
U00027,Hector Rivera,52,Chile,2022-08-29,true,ko,Music|History
U00028,Jose Morales,35,Chile,2023-12-15,true,fr,Comedy|Crime|Fantasy|Adventure
U00029,Mariana Flores,58,Spain,2023-06-01,false,es,Fantasy|War|Thriller|Crime
U00030,Sam Lopez,45,Canada,2024-02-23,true,ko|it|pt,Fantasy|Documentary
U00031,Taylor Rodriguez,26,Guatemala,2026-02-24,false,fr|de,Western|Adventure
